id_detalle,id_venta,id_producto,cantidad,precio_unitario
1,1001,107,1,119270
2,1001,114,3,15220
3,1002,126,1,14200
4,1002,132,1,14450
5,1002,118,1,65600
6,1003,154,1,3870
7,1003,121,1,10540
8,1003,126,1,14200
9,1004,114,1,15220
10,1004,145,1,54600
11,1004,125,2,10920
12,1005,135,2,32930
13,1005,152,1,33050
14,1005,151,2,5700
15,1006,132,1,13730
16,1007,128,1,6520
17,1008,122,1,4560
18,1008,114,1,15220
19,1008,147,3,63640
20,1009,135,1,32930
21,1009,109,4,117480
22,1009,127,1,4560
23,1010,126,1,12780
24,1011,127,1,4560
25,1012,153,1,46460
26,1012,101,1,29840
27,1013,132,1,14450
28,1013,129,1,25870
29,1014,158,1,25660
30,1015,121,1,10540
31,1015,148,1,42460
32,1015,154,2,3870
33,1015,101,1,29840
34,1016,107,1,132530
35,1016,143,2,26450
36,1016,126,3,14200
37,1016,134,3,28690
38,1017,125,3,10920
39,1017,158,2,25660
40,1017,139,1,17600
41,1017,152,2,36720
42,1018,134,1,28690
43,1019,156,1,21640
44,1019,128,2,6520
45,1019,103,2,115710
46,1020,126,2,13490
47,1020,145,1,51870
48,1020,105,3,137510
49,1020,138,2,24530
50,1021,145,1,54600
51,1021,141,1,56270
52,1021,106,1,128010
53,1022,147,1,63640
54,1022,128,1,6520
55,1023,108,1,27140
56,1023,136,2,21420
57,1023,115,2,23350
58,1024,122,1,4560
59,1024,128,2,6520
60,1025,137,2,12730
61,1025,144,1,38540
62,1026,127,2,4560
63,1027,157,1,9630
64,1027,101,1,29840
65,1027,107,2,132530
66,1027,114,2,15220
67,1027,156,2,22780
68,1028,112,1,26140
69,1028,137,1,12730
70,1028,149,6,63180
71,1029,158,1,25660
72,1029,105,1,123760
73,1030,156,1,22780
74,1030,126,4,14200
75,1030,143,1,26450
76,1030,127,2,4560
77,1031,121,2,10540
78,1031,107,1,132530
79,1031,128,1,6520
80,1031,117,3,27260
81,1032,126,2,14200
82,1032,114,3,15220
83,1033,121,1,10540
84,1033,128,1,6520
85,1033,143,1,26450
86,1034,132,3,14450
87,1034,111,1,18530
88,1035,117,2,24540
89,1035,114,2,15220
90,1035,152,2,34890
91,1035,148,1,42460
92,1036,153,1,46460
93,1036,129,1,25870
94,1037,107,3,125900
95,1037,128,2,6520
96,1038,158,2,23100
97,1038,139,1,17600
98,1039,152,4,36720
99,1039,111,1,18530
100,1039,117,1,27260
101,1040,125,2,10920
102,1040,133,3,48720
103,1041,152,3,36720
104,1042,126,1,14200
105,1042,101,2,29840
106,1043,126,5,14200
107,1043,114,3,15220
108,1043,152,1,36720
109,1044,122,1,4100
110,1044,131,2,31360
111,1045,132,2,14450
112,1046,119,2,24640
113,1046,121,2,10540
114,1047,157,1,9630
115,1047,152,3,34890
116,1047,134,1,28690
