id_venta,id_cliente,fecha_venta
1001,67,2023-01-02
1002,14,2023-01-05
1003,20,2023-01-07
1004,5,2023-01-09
1005,68,2023-01-10
1006,73,2023-01-13
1007,22,2023-01-16
1008,15,2023-01-16
1009,90,2023-01-18
1010,80,2023-01-19
1011,23,2023-01-20
1012,31,2023-01-20
1013,33,2023-01-22
1014,78,2023-01-25
1015,108,2023-01-28
1016,34,2023-01-31
1017,15,2023-01-31
1018,84,2023-02-01
1019,43,2023-02-03
1020,105,2023-02-04
1021,12,2023-02-09
1022,21,2023-02-09
1023,75,2023-02-15
1024,92,2023-02-18
1025,12,2023-02-18
1026,88,2023-02-19
1027,91,2023-02-21
1028,64,2023-02-21
1029,11,2023-02-21
1030,22,2023-02-22
1031,22,2023-02-24
1032,99,2023-02-25
1033,101,2023-02-26
1034,16,2023-03-01
1035,22,2023-03-04
1036,12,2023-03-06
1037,61,2023-03-09
1038,37,2023-03-10
1039,87,2023-03-10
1040,93,2023-03-11
1041,7,2023-03-18
1042,45,2023-03-19
1043,9,2023-03-20
1044,24,2023-03-22
1045,54,2023-03-23
1046,43,2023-03-24
1047,16,2023-03-24
1048,11,2023-03-26
1049,93,2023-03-28
1050,8,2023-04-02
1051,77,2023-04-04
1052,50,2023-04-06
1053,35,2023-04-06
1054,75,2023-04-07
1055,12,2023-04-14
1056,38,2023-04-19
1057,15,2023-04-20
1058,5,2023-04-22
1059,90,2023-04-22
1060,25,2023-04-23
1061,41,2023-04-27
1062,20,2023-04-28
1063,55,2023-05-01
1064,9,2023-05-02
1065,13,2023-05-04
1066,56,2023-05-05
1067,54,2023-05-07
1068,21,2023-05-08
1069,27,2023-05-11
1070,95,2023-05-13
1071,107,2023-05-14
1072,1,2023-05-14
1073,39,2023-05-16
1074,97,2023-05-18
1075,69,2023-05-20
1076,88,2023-05-21
1077,91,2023-05-23
1078,49,2023-05-25
1079,23,2023-05-25
1080,53,2023-05-26
1081,103,2023-05-26
1082,20,2023-05-29
1083,68,2023-06-04
1084,61,2023-06-05
1085,78,2023-06-06
1086,22,2023-06-08
1087,29,2023-06-11
1088,5,2023-06-11
1089,1,2023-06-12
1090,100,2023-06-12
1091,34,2023-06-14
1092,41,2023-06-15
1093,74,2023-06-16
1094,53,2023-06-16
1095,14,2023-06-18
1096,67,2023-06-19
1097,28,2023-06-22
1098,62,2023-06-27
1099,50,2023-06-27
1100,10,2023-07-02
1101,5,2023-07-02
1102,89,2023-07-02
1103,68,2023-07-03
1104,39,2023-07-08
1105,13,2023-07-09
1106,2,2023-07-10
1107,72,2023-07-10
1108,21,2023-07-11
1109,26,2023-07-11
1110,12,2023-07-11
1111,14,2023-07-12
1112,43,2023-07-13
1113,84,2023-07-13
1114,24,2023-07-15
1115,2,2023-07-21
1116,20,2023-07-22
1117,6,2023-07-27
1118,14,2023-07-27
1119,23,2023-07-28
1120,89,2023-07-28
1121,18,2023-07-29
1122,49,2023-07-30
1123,60,2023-07-31
1124,21,2023-07-31
1125,60,2023-08-03
1126,69,2023-08-04
1127,53,2023-08-05
1128,64,2023-08-06
1129,64,2023-08-06
1130,10,2023-08-08
1131,98,2023-08-12
1132,26,2023-08-14
1133,78,2023-08-14
1134,18,2023-08-15
1135,34,2023-08-15
1136,83,2023-08-19
1137,22,2023-08-19
1138,17,2023-08-20
1139,24,2023-08-20
1140,2,2023-08-21
1141,24,2023-08-22
1142,18,2023-08-24
1143,4,2023-08-25
1144,37,2023-08-26
1145,40,2023-08-27
1146,48,2023-08-30
1147,20,2023-08-30
1148,24,2023-08-31
1149,2,2023-09-01
1150,8,2023-09-02
1151,6,2023-09-02
1152,27,2023-09-03
1153,62,2023-09-05
1154,13,2023-09-06
1155,37,2023-09-07
1156,77,2023-09-11
1157,66,2023-09-13
1158,52,2023-09-13
1159,34,2023-09-14
1160,79,2023-09-15
1161,82,2023-09-15
1162,13,2023-09-16
1163,24,2023-09-20
1164,83,2023-09-21
1165,48,2023-09-21
1166,12,2023-09-22
1167,43,2023-09-24
1168,52,2023-09-24
1169,6,2023-09-25
1170,2,2023-09-26
1171,100,2023-09-27
1172,44,2023-09-30
1173,15,2023-10-01
1174,79,2023-10-02
1175,53,2023-10-05
1176,21,2023-10-06
1177,66,2023-10-06
1178,14,2023-10-13
1179,56,2023-10-15
1180,98,2023-10-17
1181,70,2023-10-18
1182,74,2023-10-19
1183,3,2023-10-20
1184,21,2023-10-21
1185,84,2023-10-22
1186,17,2023-10-24
1187,27,2023-10-25
1188,45,2023-10-25
1189,25,2023-10-25
1190,43,2023-10-26
1191,69,2023-10-29
1192,73,2023-10-29
1193,23,2023-10-29
1194,38,2023-11-01
1195,72,2023-11-01
1196,73,2023-11-03
1197,21,2023-11-03
1198,24,2023-11-03
1199,11,2023-11-04
1200,88,2023-11-04
1201,17,2023-11-05
1202,8,2023-11-05
1203,12,2023-11-07
1204,44,2023-11-08
1205,41,2023-11-09
1206,84,2023-11-10
1207,41,2023-11-11
1208,62,2023-11-11
1209,77,2023-11-13
1210,85,2023-11-15
1211,79,2023-11-15
1212,19,2023-11-17
1213,85,2023-11-20
1214,45,2023-11-22
1215,3,2023-11-24
1216,21,2023-11-24
1217,49,2023-11-25
1218,15,2023-11-26
1219,18,2023-11-26
1220,27,2023-11-28
1221,3,2023-12-01
1222,11,2023-12-01
1223,6,2023-12-01
1224,76,2023-12-04
1225,24,2023-12-05
1226,27,2023-12-05
1227,52,2023-12-06
1228,52,2023-12-09
1229,50,2023-12-09
1230,73,2023-12-09
1231,69,2023-12-12
1232,17,2023-12-14
1233,16,2023-12-16
1234,71,2023-12-18
1235,55,2023-12-18
1236,60,2023-12-20
1237,40,2023-12-23
1238,21,2023-12-23
1239,23,2023-12-23
1240,78,2023-12-23
1241,18,2023-12-23
1242,22,2023-12-24
1243,107,2023-12-24
1244,4,2023-12-26
1245,49,2023-12-27
1246,4,2023-12-27
1247,45,2023-12-29
1248,38,2023-12-30
1249,37,2023-12-30
1250,88,2023-12-31
1251,37,2024-01-04
1252,16,2024-01-05
1253,16,2024-01-07
1254,30,2024-01-08
1255,83,2024-01-08
1256,7,2024-01-11
1257,20,2024-01-12
1258,85,2024-01-14
1259,66,2024-01-15
1260,23,2024-01-16
1261,3,2024-01-17
1262,10,2024-01-17
1263,78,2024-01-19
1264,15,2024-01-20
1265,18,2024-01-25
1266,17,2024-01-26
1267,11,2024-01-26
1268,74,2024-01-26
1269,89,2024-01-28
1270,13,2024-02-04
1271,3,2024-02-06
1272,15,2024-02-10
1273,57,2024-02-11
1274,47,2024-02-12
1275,66,2024-02-12
1276,23,2024-02-13
1277,41,2024-02-13
1278,97,2024-02-13
1279,20,2024-02-15
1280,24,2024-02-17
1281,10,2024-02-18
1282,52,2024-02-19
1283,13,2024-02-21
1284,96,2024-02-21
1285,13,2024-02-22
1286,68,2024-03-01
1287,53,2024-03-02
1288,63,2024-03-03
1289,30,2024-03-04
1290,19,2024-03-11
1291,9,2024-03-11
1292,11,2024-03-11
1293,56,2024-03-15
1294,107,2024-03-15
1295,65,2024-03-16
1296,51,2024-03-17
1297,19,2024-03-18
1298,13,2024-03-18
1299,11,2024-03-20
1300,57,2024-03-23
1301,73,2024-03-25
1302,3,2024-03-31
1303,101,2024-04-02
1304,13,2024-04-04
1305,74,2024-04-18
1306,10,2024-04-23
1307,10,2024-04-24
1308,49,2024-04-25
1309,13,2024-04-26
1310,1,2024-04-26
1311,102,2024-04-26
1312,6,2024-04-28
1313,3,2024-04-30
1314,33,2024-04-30
1315,14,2024-05-02
1316,86,2024-05-02
1317,1,2024-05-04
1318,64,2024-05-09
1319,88,2024-05-10
1320,21,2024-05-11
1321,89,2024-05-11
1322,7,2024-05-12
1323,69,2024-05-14
1324,62,2024-05-15
1325,50,2024-05-16
1326,57,2024-05-17
1327,88,2024-05-20
1328,45,2024-05-20
1329,59,2024-05-21
1330,49,2024-05-22
1331,5,2024-05-22
1332,7,2024-05-22
1333,24,2024-05-22
1334,15,2024-05-22
1335,7,2024-05-23
1336,23,2024-05-23
1337,19,2024-05-24
1338,1,2024-05-24
1339,58,2024-05-24
1340,79,2024-05-25
1341,20,2024-05-26
1342,59,2024-05-27
1343,21,2024-05-27
1344,48,2024-05-28
1345,82,2024-05-28
1346,9,2024-05-30
1347,48,2024-05-30
1348,89,2024-06-02
1349,21,2024-06-02
1350,41,2024-06-03
1351,20,2024-06-03
1352,38,2024-06-07
1353,108,2024-06-09
1354,37,2024-06-09
1355,19,2024-06-12
1356,54,2024-06-12
1357,15,2024-06-13
1358,4,2024-06-15
1359,89,2024-06-15
1360,38,2024-06-15
1361,11,2024-06-17
1362,7,2024-06-18
1363,103,2024-06-18
1364,64,2024-06-19
1365,21,2024-06-19
1366,24,2024-06-23
1367,80,2024-06-24
1368,2,2024-06-30
1369,16,2024-07-01
1370,51,2024-07-02
1371,10,2024-07-04
1372,10,2024-07-05
1373,18,2024-07-05
1374,22,2024-07-06
1375,89,2024-07-08
1376,64,2024-07-09
1377,4,2024-07-11
1378,1,2024-07-11
1379,15,2024-07-13
1380,8,2024-07-16
1381,23,2024-07-17
1382,37,2024-07-19
1383,86,2024-07-19
1384,24,2024-07-21
1385,21,2024-07-22
1386,69,2024-07-22
1387,36,2024-07-26
1388,3,2024-07-27
1389,70,2024-07-27
1390,30,2024-07-27
1391,28,2024-07-30
1392,59,2024-07-30
1393,87,2024-07-31
1394,12,2024-08-02
1395,14,2024-08-04
